,id,usableAreas,createdAt,displayAddressGeolocation,parkingSpaces,suites,bathrooms,bedrooms,pricingInfos,amenities,unitFloor
0,2676656204,['58'],2023-12-15T16:15:34.077Z,"{'lon': -46.741941, 'lat': -23.635781}",[2],[],[1],[2],"[{'yearlyIptu': '2140', 'price': '550000', 'businessType': 'SALE', 'monthlyCondoFee': '850'}]",['BACKYARD'],16
0,2676655732,['54'],2023-12-15T16:15:35.480Z,"{'lon': -46.741682, 'lat': -23.621364}",[2],[1],[2],[2],"[{'yearlyIptu': '0', 'price': '497250', 'businessType': 'SALE', 'monthlyCondoFee': '600'}]",[],8
0,2668219197,['82'],2023-11-09T16:37:40.303Z,"{'lon': -46.606827, 'lat': -23.471749}",[1],[1],[2],[2],"[{'yearlyIptu': '1400', 'price': '850000', 'businessType': 'SALE', 'monthlyCondoFee': '740'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'CONCIERGE_24H', 'GAMES_ROOM', 'DISABLED_ACCESS']",6
0,2676691707,['78'],2023-12-15T18:57:14.762Z,"{'lon': -46.662952, 'lat': -23.625933}",[1],[1],[2],[3],"[{'yearlyIptu': '88', 'price': '680000', 'businessType': 'SALE', 'monthlyCondoFee': '912'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GYM', 'PETS_ALLOWED', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'ELECTRONIC_GATE']",50
0,2670015705,['41'],2023-11-17T12:04:09.411Z,"{'lon': -46.641205, 'lat': -23.54211}",[],[],[1],[2],"[{'yearlyIptu': '102', 'price': '245000', 'businessType': 'SALE', 'monthlyCondoFee': '350'}]","['GATED_COMMUNITY', 'ELECTRONIC_GATE', 'CONCIERGE_24H', 'PETS_ALLOWED']",0
0,2673407099,['138'],2023-12-01T21:23:47.827Z,"{'lon': -46.739321, 'lat': -23.629155}",[2],[3],[5],[3],"[{'yearlyIptu': '0', 'price': '1298000', 'businessType': 'SALE', 'monthlyCondoFee': '0'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'PET_SPACE', 'SAUNA', 'DISABLED_ACCESS', 'GAMES_ROOM', 'ELECTRONIC_GATE']",0
0,2676657132,['58'],2023-12-15T16:15:36.965Z,"{'lon': -46.741941, 'lat': -23.635781}",[2],[],[1],[2],"[{'yearlyIptu': '550', 'price': '400000', 'businessType': 'SALE', 'monthlyCondoFee': '830'}]","['BARBECUE_GRILL', 'POOL', 'BACKYARD']",12
0,2462461887,['64'],2019-10-26T15:10:54.375Z,None,[2],[1],[2],[2],"[{'rentalInfo': {'period': 'MONTHLY', 'warranties': []}, 'yearlyIptu': '0', 'price': '650000', 'businessType': 'SALE', 'monthlyCondoFee': '630'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GYM', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM', 'SAUNA', 'SPA']",0
0,2678854106,['89'],2023-12-26T01:04:02.706Z,"{'lon': -46.451934, 'lat': -23.553126}",[1],[],[1],[2],"[{'yearlyIptu': '768', 'price': '320000', 'businessType': 'SALE', 'monthlyCondoFee': '440'}]",['NUMBER_OF_FLOORS'],7
0,2535635520,['50'],2021-09-22T23:47:15.538Z,"{'lon': -46.604263, 'lat': -23.632258}",[1],[0],[1],[2],"[{'yearlyIptu': '60', 'price': '340000', 'businessType': 'SALE', 'monthlyCondoFee': '560'}]","['BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'PETS_ALLOWED', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'CONCIERGE_24H', 'INTERNET_ACCESS', 'SANCA', 'FOOTBALL_FIELD', 'SECURITY_CAMERA', 'DISABLED_ACCESS', 'ELECTRONIC_GATE']",0
0,2517705577,['48'],2021-04-23T12:46:56.439Z,"{'lon': -46.731371, 'lat': -23.574338}",[1],[0],[1],[2],"[{'yearlyIptu': '43', 'price': '365000', 'businessType': 'SALE', 'monthlyCondoFee': '668'}]","['POOL', 'FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'GARDEN', 'SERVICE_AREA', 'CHILDRENS_POOL', 'PARTY_HALL', 'ELECTRIC_GENERATOR', 'INTERCOM', 'ADULT_POOL', 'ADULT_GAME_ROOM']",7
0,2622746639,['55'],2023-04-04T13:00:32.007Z,None,[1],[],[1],[2],"[{'yearlyIptu': '120', 'price': '340000', 'businessType': 'SALE', 'monthlyCondoFee': '775'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GYM', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'HEATED_POOL', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'BEDROOM_WARDROBE', 'KITCHEN_CABINETS', 'BATHROOM_CABINETS', 'SERVICE_BATHROOM', 'INTERCOM', 'DINNER_ROOM', 'TOYS_PLACE', 'SECURITY_CAMERA', 'PIZZA_OVEN', 'GAMES_ROOM', 'DISABLED_ACCESS', 'BLINDEX_BOX', 'COLD_FLOOR', 'LUNCH_ROOM']",0
0,2656815465,['109'],2023-09-20T14:19:54.435Z,"{'lon': -46.563715, 'lat': -23.533227}",[2],[3],[4],[3],"[{'yearlyIptu': '2400', 'price': '1020000', 'businessType': 'SALE', 'monthlyCondoFee': '970'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'NEAR_ACCESS_ROADS', 'NEAR_SCHOOL', 'NEAR_HOSPITAL', 'NEAR_SHOPPING_CENTER', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'LAUNDRY', 'TOYS_PLACE', 'SECURITY_CAMERA', 'PET_SPACE', 'REDARIO', 'GAMES_ROOM', 'DISABLED_ACCESS', 'COWORKING', 'ELECTRONIC_GATE', 'NEAR_PUBLIC_TRANSPORT', 'SECURITY_24_HOURS']",10
0,2624515506,['80'],2023-04-08T06:29:58.710Z,"{'lon': -46.720249, 'lat': -23.641848}",[2],[1],[3],[2],"[{'yearlyIptu': '287', 'price': '879000', 'businessType': 'SALE', 'monthlyCondoFee': '416'}]","['POOL', 'BARBECUE_GRILL', 'GYM', 'GOURMET_SPACE', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'SECURITY_24_HOURS', 'ADULT_GAME_ROOM']",50
0,2678825995,['43'],2023-12-25T17:16:27.099Z,"{'lon': -46.718504, 'lat': -23.499709}",[],[],[1],[2],"[{'yearlyIptu': '80', 'price': '325000', 'businessType': 'SALE', 'monthlyCondoFee': '400'}]","['BARBECUE_GRILL', 'ELEVATOR', 'PETS_ALLOWED', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CONCIERGE_24H', 'LIBRARY', 'GAMES_ROOM']",0
0,2638764874,['94'],2023-06-16T16:54:36.692Z,"{'lon': -46.617666, 'lat': -23.63091}",[3],[1],[2],[3],"[{'yearlyIptu': '359', 'price': '845000', 'businessType': 'SALE', 'monthlyCondoFee': '864'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'PETS_ALLOWED', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'NEAR_ACCESS_ROADS', 'NEAR_SCHOOL', 'NEAR_HOSPITAL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'ELECTRONIC_GATE', 'NEAR_PUBLIC_TRANSPORT', 'RECEPTION']",0
