,id,usableAreas,createdAt,displayAddressGeolocation,parkingSpaces,suites,bathrooms,bedrooms,pricingInfos,amenities,unitFloor
0,2644283194,['149'],2023-07-14T13:31:24.602Z,None,[2],[3],[5],[3],"[{'yearlyIptu': '5335', 'price': '2400000', 'businessType': 'SALE', 'monthlyCondoFee': '1171'}]","['POOL', 'FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'SPORTS_COURT', 'CONCIERGE_24H', 'CLOSET', 'LAUNDRY', 'GAMES_ROOM', 'DISABLED_ACCESS', 'SAUNA', 'SPA']",11
0,2621545458,['76'],2023-03-29T14:43:02.557Z,"{'lon': -46.767537, 'lat': -23.593516}",[1],[],[2],[3],"[{'yearlyIptu': '10', 'price': '330000', 'businessType': 'SALE', 'monthlyCondoFee': '435'}]","['CONCIERGE_24H', 'ELECTRONIC_GATE', 'GATED_COMMUNITY', 'GARDEN', 'GOURMET_SPACE']",8
0,2674914314,['53'],2023-12-09T12:53:02.733Z,"{'lon': -46.517153, 'lat': -23.559314}",[1],[0],[1],[2],"[{'yearlyIptu': '0', 'price': '280000', 'businessType': 'SALE', 'monthlyCondoFee': '270'}]","['KITCHEN', 'GATED_COMMUNITY', 'GARAGE', 'LAUNDRY']",0
0,2665702110,['71'],2023-10-29T19:48:45.427Z,"{'lon': -46.555922, 'lat': -23.532668}",[1],[1],[2],[2],"[{'yearlyIptu': '120', 'price': '495900', 'businessType': 'SALE', 'monthlyCondoFee': '489'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'CLOSET', 'AMERICAN_KITCHEN', 'DISABLED_ACCESS', 'SAUNA', 'GAMES_ROOM', 'ELECTRONIC_GATE']",3
0,2678309422,['127'],2023-12-22T14:36:18.019Z,"{'lon': -46.73058, 'lat': -23.627795}",[3],[2],[4],[3],"[{'yearlyIptu': '450', 'price': '470000', 'businessType': 'SALE', 'monthlyCondoFee': '1660'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GYM', 'PETS_ALLOWED', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ELECTRIC_GENERATOR', 'INTERCOM', 'LAUNDRY', 'ADULT_GAME_ROOM', 'RECEPTION', 'SAUNA']",11
0,2664558241,['55'],2023-10-25T04:12:05.391Z,"{'lon': -46.718767, 'lat': -23.518071}",[1],[1],[2],[1],"[{'yearlyIptu': '100', 'price': '576500', 'businessType': 'SALE', 'monthlyCondoFee': '600'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'CHILDRENS_POOL', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'GAS_SHOWER', 'CLOSET', 'LARGE_ROOM', 'TOYS_PLACE', 'DECK', 'ENTRANCE_HALL', 'ADULT_POOL', 'SQUARE', 'WATER_TANK', 'SOLARIUM', 'GAMES_ROOM', 'DISABLED_ACCESS', 'ELECTRONIC_GATE', 'INTEGRATED_ENVIRONMENTS']",29
0,2560055492,['143'],2022-04-25T17:55:28.351Z,"{'lon': -46.680079, 'lat': -23.619656}",[2],[3],[5],[4],"[{'yearlyIptu': '0', 'price': '1845000', 'businessType': 'SALE', 'monthlyCondoFee': '1000'}]","['POOL', 'ELEVATOR', 'GATED_COMMUNITY', 'BALCONY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'GOURMET_BALCONY', 'BARBECUE_BALCONY', 'CHILDRENS_POOL', 'PARTY_HALL', 'HOME_OFFICE', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'GAS_SHOWER', 'CLOSET', 'AMERICAN_KITCHEN', 'GOURMET_KITCHEN', 'DEPOSIT', 'ELECTRIC_GENERATOR', 'SANCA', 'INTERCOM', 'SOUNDPROOFING', 'LARGE_WINDOW', 'LARGE_ROOM', 'POOL_BAR', 'TOYS_PLACE', 'CHILDREN_CARE', 'SERVICE_ENTRANCE', 'DECK', 'TEEN_SPACE', 'PET_SPACE', 'ENTRANCE_HALL', 'ADULT_POOL', 'MASSAGE', 'MEETING_ROOM', 'SOLARIUM', 'DRESS_ROOM2', 'DISABLED_ACCESS', 'COWORKING', 'SAUNA', 'SPA', 'GAMES_ROOM', 'ELECTRONIC_GATE', 'CORNER_PROPERTY', 'LAVABO', 'PORCELAIN', 'REVERSIBLE_ROOM']",0
0,2677423176,['60'],2023-12-19T07:17:58.960Z,"{'lon': -46.651333, 'lat': -23.465797}",[1],[],[1],[3],"[{'yearlyIptu': '31', 'price': '300000', 'businessType': 'SALE'}]","['BARBECUE_GRILL', 'ELEVATOR', 'PETS_ALLOWED', 'NEAR_SCHOOL', 'NEAR_SHOPPING_CENTER', 'KITCHEN', 'LAUNDRY', 'CABLE_TV', 'SECURITY_24_HOURS', 'SAFETY_CIRCUIT', 'ADULT_GAME_ROOM']",0
0,2662593661,['74'],2023-10-16T15:57:11.206Z,"{'lon': -46.749386, 'lat': -23.579452}",[1],[1],[2],[3],"[{'yearlyIptu': '100', 'price': '545000', 'businessType': 'SALE', 'monthlyCondoFee': '750'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'BALCONY', 'GYM', 'PETS_ALLOWED', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'BUILTIN_WARDROBE', 'BEDROOM_WARDROBE', 'KITCHEN_CABINETS', 'BATHROOM_CABINETS', 'AMERICAN_KITCHEN', 'INTERCOM', 'DISABLED_ACCESS', 'GAMES_ROOM', 'ELECTRONIC_GATE', 'BLINDEX_BOX', 'ALUMINUM_WINDOW', 'LAMINATED_FLOOR']",14
0,2661782259,['60'],2023-10-12T19:05:50.767Z,"{'lon': -46.641968, 'lat': -23.521687}",[1],[1],[2],[2],"[{'yearlyIptu': '70', 'price': '530870', 'businessType': 'SALE', 'monthlyCondoFee': '550'}]","['POOL', 'FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'DISABLED_ACCESS', 'GAMES_ROOM']",10
0,2677694009,['48'],2023-12-20T06:00:54.373Z,"{'lon': -46.603697, 'lat': -23.622658}",[2],[],[1],[2],"[{'yearlyIptu': '60', 'price': '300000', 'businessType': 'SALE', 'monthlyCondoFee': '685'}]","['FURNISHED', 'GATED_COMMUNITY', 'BALCONY', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'INTERCOM']",8
0,2664688545,['143'],2023-10-25T15:02:08.376Z,"{'lon': -46.671455, 'lat': -23.534186}",[3],[3],[4],[3],"[{'yearlyIptu': '9147', 'price': '1895000', 'businessType': 'SALE', 'monthlyCondoFee': '2065'}]","['POOL', 'ELEVATOR', 'GATED_COMMUNITY', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'CONCIERGE_24H', 'RECREATION_AREA', 'SECURITY_CAMERA', 'SAFETY_CIRCUIT', 'ENTRANCE_HALL', 'ADULT_POOL', 'ELECTRONIC_GATE', 'DISABLED_ACCESS']",5
0,2664558201,['55'],2023-10-25T03:57:41.543Z,"{'lon': -46.718767, 'lat': -23.518071}",[1],[1],[2],[2],"[{'yearlyIptu': '100', 'price': '571000', 'businessType': 'SALE', 'monthlyCondoFee': '600'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'CHILDRENS_POOL', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'GAS_SHOWER', 'CLOSET', 'TOYS_PLACE', 'DECK', 'ENTRANCE_HALL', 'ADULT_POOL', 'SQUARE', 'WATER_TANK', 'SOLARIUM', 'GAMES_ROOM', 'DISABLED_ACCESS', 'ELECTRONIC_GATE', 'INTEGRATED_ENVIRONMENTS']",1
0,2664762497,['25'],2023-10-25T23:38:23.946Z,"{'lon': -46.666233, 'lat': -23.613558}",[0],[1],[1],[1],"[{'yearlyIptu': '150', 'price': '330000', 'businessType': 'SALE', 'monthlyCondoFee': '400'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'BALCONY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'COVERED_POOL', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'INTERNET_ACCESS', 'AMERICAN_KITCHEN', 'ELECTRIC_GENERATOR', 'INTERCOM', 'SOUNDPROOFING', 'THERMAL_INSULATION', 'LAUNDRY', 'ALARM_SYSTEM', 'FRUIT_TREES', 'TOYS_PLACE', 'SECURITY_CAMERA', 'SAFETY_CIRCUIT', 'PET_SPACE', 'SOLARIUM', 'CINEMA', 'GAMES_ROOM', 'DISABLED_ACCESS', 'COWORKING', 'SPA', 'ELECTRONIC_GATE', 'INTEGRATED_ENVIRONMENTS', 'ALUMINUM_WINDOW', 'PANORAMIC_VIEW']",6
0,2661758754,['60'],2023-10-12T15:09:01.299Z,"{'lon': -46.641968, 'lat': -23.521687}",[1],[1],[2],[2],"[{'yearlyIptu': '70', 'price': '530100', 'businessType': 'SALE', 'monthlyCondoFee': '550'}]","['POOL', 'FURNISHED', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'GAMES_ROOM', 'DISABLED_ACCESS']",10
0,2563565950,['116'],2022-05-20T11:34:19.041Z,"{'lon': -46.675848, 'lat': -23.52053}",[2],[1],[4],[3],"[{'yearlyIptu': '250', 'price': '1299000', 'businessType': 'SALE', 'monthlyCondoFee': '1000'}]","['POOL', 'BARBECUE_GRILL', 'GYM', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",0
0,2655381734,['48'],2023-09-13T05:34:21.561Z,"{'lon': -46.611175, 'lat': -23.654118}",[2],[0],[1],[2],"[{'yearlyIptu': '0', 'price': '270000', 'businessType': 'SALE', 'monthlyCondoFee': '550'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'BALCONY', 'GYM', 'PETS_ALLOWED', 'GARAGE', 'SERVICE_AREA', 'PLAYGROUND', 'CHILDRENS_POOL', 'NEAR_HOSPITAL', 'ESSENTIAL_PUBLIC_SERVICES', 'ADULT_POOL', 'SECURITY_24_HOURS']",0
0,2495512437,['67'],2020-09-10T20:01:24.342Z,"{'lon': -46.718633, 'lat': -23.517944}",[1],[1],[2],[3],"[{'yearlyIptu': '0', 'price': '610000', 'businessType': 'SALE', 'monthlyCondoFee': '500'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'BALCONY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'CHILDRENS_POOL', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'GAS_SHOWER', 'CLOSET', 'AMERICAN_KITCHEN', 'ELECTRIC_GENERATOR', 'SANCA', 'INTERCOM', 'LARGE_WINDOW', 'DINNER_ROOM', 'CABLE_TV', 'TOYS_PLACE', 'TEEN_SPACE', 'PET_SPACE', 'PIZZA_OVEN', 'ENTRANCE_HALL', 'ADULT_POOL', 'MEETING_ROOM', 'SOLARIUM', 'DRESS_ROOM2', 'DISABLED_ACCESS', 'COWORKING', 'ELECTRONIC_GATE', 'GAMES_ROOM', 'INTEGRATED_ENVIRONMENTS', 'LAVABO', 'PORCELAIN']",0
0,2633111491,['71'],2023-05-18T08:50:32.608Z,"{'lon': -46.612136, 'lat': -23.654917}",[1],[1],[2],[3],"[{'yearlyIptu': '0', 'price': '520000', 'businessType': 'SALE', 'monthlyCondoFee': '500'}]","['POOL', 'BARBECUE_GRILL', 'GYM', 'PLAYGROUND', 'CHILDRENS_POOL', 'PARTY_HALL', 'SPORTS_COURT', 'HOME_CINEMA']",0
0,2670990536,['100'],2023-11-22T18:03:40.732Z,"{'lon': -46.644687, 'lat': -23.565995}",[1],[],[2],[2],"[{'yearlyIptu': '154', 'price': '895000', 'businessType': 'SALE', 'monthlyCondoFee': '1148'}]","['ELEVATOR', 'GARDEN', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H']",0
0,2476698921,['44'],2020-03-03T05:22:33.956Z,"{'lon': -46.592146, 'lat': -23.635097}",[1],[0],[1],[2],"[{'yearlyIptu': '0', 'price': '319000', 'businessType': 'SALE', 'monthlyCondoFee': '350'}]","['BARBECUE_GRILL', 'ELEVATOR']",0
0,2620987219,['72'],2023-03-26T14:30:11.747Z,"{'lon': -46.606704, 'lat': -23.603098}",[1],[1],[2],[2],"[{'yearlyIptu': '150', 'price': '715000', 'businessType': 'SALE', 'monthlyCondoFee': '700'}]",[],4
0,2649361580,['115'],2023-08-12T17:54:40.961Z,"{'lon': -46.630897, 'lat': -23.602867}",[3],[3],[5],[3],"[{'yearlyIptu': '712', 'price': '1280000', 'businessType': 'SALE', 'monthlyCondoFee': '1860'}]","['BARBECUE_GRILL', 'ELEVATOR', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'BUILTIN_WARDROBE', 'KITCHEN', 'ADULT_GAME_ROOM']",0
0,2669928993,['65'],2023-11-17T06:19:31.202Z,"{'lon': -46.730833, 'lat': -23.618233}",[1],[1],[2],[3],"[{'yearlyIptu': '60', 'price': '371000', 'businessType': 'SALE', 'monthlyCondoFee': '535'}]","['GATED_COMMUNITY', 'BALCONY', 'GYM', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'INTERCOM', 'HEATING', 'ADULT_GAME_ROOM', 'SPA', 'SAFETY_CIRCUIT']",5
0,2655768782,['131'],2023-09-14T21:06:21.640Z,"{'lon': -46.6696, 'lat': -23.63534}",[2],[3],[4],[3],"[{'yearlyIptu': '4000', 'price': '1652000', 'businessType': 'SALE', 'monthlyCondoFee': '1100'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'RECREATION_AREA', 'CLOSET', 'AMERICAN_KITCHEN', 'ENTRANCE_HALL', 'DISABLED_ACCESS', 'ELECTRONIC_GATE', 'GAMES_ROOM']",4
0,2637040861,['98'],2023-06-07T07:08:31.744Z,"{'lon': -46.663679, 'lat': -23.612748}",[2],[1],[3],[3],"[{'yearlyIptu': '426', 'price': '1250000', 'businessType': 'SALE', 'monthlyCondoFee': '1480'}]","['ELEVATOR', 'POOL', 'BALCONY', 'SAUNA']",50
0,2671121519,['119'],2023-11-23T08:16:29.459Z,"{'lon': -46.73927, 'lat': -23.625432}",[2],[3],[5],[3],"[{'yearlyIptu': '400', 'price': '1200000', 'businessType': 'SALE', 'monthlyCondoFee': '1000'}]",[],0
0,2670273600,['66'],2023-11-18T11:45:40.544Z,"{'lon': -46.64264, 'lat': -23.617954}",[1],[1],[2],[2],"[{'yearlyIptu': '0', 'price': '714500', 'businessType': 'SALE', 'monthlyCondoFee': '0'}]","['PLAYGROUND', 'BARBECUE_GRILL', 'PARTY_HALL', 'SAUNA']",6
0,2656321501,['54'],2023-09-18T00:49:00.533Z,"{'lon': -46.608662, 'lat': -23.549912}",[1],[1],[2],[2],"[{'yearlyIptu': '100', 'price': '454000', 'businessType': 'SALE', 'monthlyCondoFee': '500'}]",[],27
0,2660215811,['62'],2023-10-05T22:07:26.908Z,"{'lon': -46.675613, 'lat': -23.501006}",[1],[],[1],[2],"[{'yearlyIptu': '0', 'price': '320000', 'businessType': 'SALE', 'monthlyCondoFee': '350'}]","['INTERCOM', 'KITCHEN_CABINETS', 'DINNER_ROOM']",0
0,2659534597,['56'],2023-10-03T05:17:07.172Z,"{'lon': -46.435918, 'lat': -23.551478}",[1],[0],[1],[3],"[{'yearlyIptu': '0', 'price': '200000', 'businessType': 'SALE', 'monthlyCondoFee': '170'}]",['SPORTS_COURT'],2
0,2667405105,['70'],2023-11-06T18:32:12.231Z,"{'lon': -46.735422, 'lat': -23.63912}",[2],[0],[2],[3],"[{'yearlyIptu': '280', 'price': '420000', 'businessType': 'SALE', 'monthlyCondoFee': '1100'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'KITCHEN', 'INTERCOM', 'SECURITY_24_HOURS', 'ADULT_GAME_ROOM']",6
0,2656338965,['63'],2023-09-18T03:29:51.430Z,"{'lon': -46.712858, 'lat': -23.643604}",[1],[1],[2],[2],"[{'yearlyIptu': '100', 'price': '490000', 'businessType': 'SALE', 'monthlyCondoFee': '600'}]",[],27
0,2503153088,['120'],2020-11-22T21:04:19.642Z,"{'lon': -46.636275, 'lat': -23.575864}",[2],[2],[5],[3],"[{'yearlyIptu': '3200', 'price': '1802000', 'businessType': 'SALE', 'monthlyCondoFee': '1440'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'PETS_ALLOWED', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'PLAYGROUND', 'GOURMET_BALCONY', 'PARTY_HALL', 'SPORTS_COURT', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'AMERICAN_KITCHEN', 'LAUNDRY', 'SAUNA', 'SPA', 'GAMES_ROOM', 'DISABLED_ACCESS', 'ELECTRONIC_GATE']",14
0,2672156613,['45'],2023-11-27T19:41:15.721Z,"{'lon': -46.724386, 'lat': -23.440439}",[1],[0],[1],[2],"[{'yearlyIptu': '0', 'price': '286190', 'businessType': 'SALE', 'monthlyCondoFee': '450'}]","['BARBECUE_GRILL', 'ELEVATOR', 'PLAYGROUND', 'PARTY_HALL', 'BUILTIN_WARDROBE', 'KITCHEN']",5
0,2676229393,['42'],2023-12-14T10:22:57.810Z,"{'lon': -46.509686, 'lat': -23.597326}",[1],[0],[1],[2],"[{'yearlyIptu': '0', 'price': '225000', 'businessType': 'SALE', 'monthlyCondoFee': '285'}]","['KITCHEN', 'SERVICE_AREA']",5
0,2662954360,['81'],2023-10-18T01:04:59.692Z,"{'lon': -46.663254, 'lat': -23.648085}",[2],[1],[2],[2],"[{'yearlyIptu': '180', 'price': '869000', 'businessType': 'SALE', 'monthlyCondoFee': '820'}]","['POOL', 'BARBECUE_GRILL', 'SERVICE_AREA', 'GOURMET_BALCONY', 'SPORTS_COURT', 'KITCHEN', 'LAUNDRY', 'SAUNA']",15
0,2622311420,['81'],2023-04-01T20:27:35.779Z,"{'lon': -46.644158, 'lat': -23.487677}",[2],[1],[2],[3],"[{'yearlyIptu': '335', 'price': '825000', 'businessType': 'SALE', 'monthlyCondoFee': '760'}]","['POOL', 'BARBECUE_GRILL', 'GYM', 'GOURMET_SPACE', 'GARDEN', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'CONCIERGE_24H', 'GAMES_ROOM']",0
0,2567676869,['189'],2022-06-21T06:02:35.932Z,"{'lon': -46.639647, 'lat': -23.501548}",[3],[3],[5],[4],"[{'yearlyIptu': '5800', 'price': '1700000', 'businessType': 'SALE', 'monthlyCondoFee': '1200'}]","['POOL', 'BARBECUE_GRILL', 'ELEVATOR', 'SERVICE_AREA', 'SPORTS_COURT', 'KITCHEN', 'SAUNA']",0
